,id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
210,211,0.47149855479999997,male,14.0,pacific,75.0,13143.75,38.0,47.0,,58.2,,,,,,
211,212,0.9429971097,male,14.0,pacific,46.0,158201.8412,50.0,,56.0,46.5,very satisfied,disagree,disagree,disagree,disagree,agree
212,213,0.47149855479999997,female,10.0,pacific,77.0,14896.25,38.0,35.0,43.0,39.2,,agree,disagree,disagree,disagree,neither agree nor disagree
213,214,1.885994219,female,11.0,pacific,18.0,9638.75,,,,,,strongly agree,strongly disagree,disagree,strongly disagree,agree
214,215,0.9429971097,female,12.0,pacific,62.0,22782.5,45.0,45.0,,58.4,,,,,,
215,216,1.4144956640000002,female,15.0,pacific,30.0,22782.5,55.0,33.0,31.0,37.2,mod. satisfied,strongly agree,disagree,disagree,disagree,strongly disagree
216,217,0.9429971097,female,7.0,pacific,70.0,14896.25,32.0,,33.0,32.7,,,,,,
217,218,1.885994219,male,3.0,pacific,50.0,3855.5,49.0,,27.0,53.9,mod. satisfied,disagree,agree,disagree,agree,agree
218,219,0.9429971097,female,12.0,pacific,44.0,7886.25,48.0,25.0,36.0,20.1,very satisfied,disagree,disagree,agree,agree,agree
219,220,0.9429971097,female,12.0,pacific,33.0,26287.5,47.0,25.0,37.0,65.3,very satisfied,,,,,
220,221,0.9429971097,female,19.0,pacific,34.0,98140.0,59.0,64.0,36.0,88.3,very satisfied,,,,,
221,222,0.9429971097,female,16.0,pacific,46.0,158201.8412,47.0,,35.0,38.8,mod. satisfied,,,,,
222,223,2.35896796,male,12.0,pacific,51.0,47317.5,17.0,,40.0,49.3,mod. satisfied,agree,disagree,disagree,agree,agree
223,224,1.4144956640000002,male,14.0,pacific,28.0,57832.5,45.0,,25.0,39.2,very satisfied,,,,,
224,225,0.47149855479999997,male,16.0,pacific,74.0,47317.5,41.0,,27.0,38.9,very satisfied,agree,disagree,disagree,disagree,agree
225,226,0.9429971097,female,15.0,pacific,29.0,47317.5,33.0,,,13.6,very dissatisfied,disagree,disagree,disagree,strongly agree,agree
226,227,1.885994219,male,11.0,pacific,49.0,22782.5,35.0,25.0,33.0,23.7,very satisfied,agree,disagree,disagree,agree,strongly agree
227,228,0.9429971097,female,17.0,pacific,28.0,47317.5,21.0,52.0,38.0,13.6,a little dissat,,,,,
228,229,0.9429971097,female,12.0,pacific,48.0,57832.5,31.0,,35.0,39.7,very dissatisfied,disagree,agree,agree,disagree,strongly agree
229,230,0.9429971097,female,12.0,pacific,24.0,26287.5,21.0,48.0,38.0,14.0,mod. satisfied,strongly agree,strongly disagree,disagree,disagree,strongly disagree
230,231,0.47149855479999997,female,15.0,pacific,51.0,19277.5,39.0,38.0,,41.0,very satisfied,,,,,
231,232,0.47149855479999997,female,16.0,pacific,42.0,47317.5,60.0,48.0,38.0,76.3,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
232,233,2.35896796,male,17.0,pacific,44.0,,50.0,54.0,74.0,57.4,very satisfied,,,,,
233,234,0.9429971097,female,12.0,pacific,33.0,31545.0,31.0,,,39.7,very satisfied,agree,agree,agree,disagree,disagree
234,235,1.4144956640000002,male,12.0,pacific,29.0,70100.0,55.0,64.0,46.0,37.2,mod. satisfied,,,,,
235,236,0.9429971097,female,17.0,pacific,48.0,158201.8412,49.0,33.0,26.0,62.1,very satisfied,agree,strongly disagree,disagree,disagree,neither agree nor disagree
236,237,0.9429971097,female,10.0,pacific,62.0,22782.5,25.0,,32.0,23.3,very satisfied,disagree,agree,disagree,agree,agree
237,238,0.47149855479999997,female,12.0,pacific,88.0,,48.0,47.0,53.0,26.1,mod. satisfied,,,,,
238,239,1.4144956640000002,male,18.0,pacific,65.0,112160.0,61.0,,47.0,80.9,very satisfied,agree,disagree,disagree,agree,disagree
239,240,1.885994219,female,13.0,pacific,28.0,98140.0,38.0,40.0,,25.7,mod. satisfied,agree,agree,disagree,disagree,agree
240,241,2.35896796,female,14.0,pacific,58.0,57832.5,,45.0,45.0,,very satisfied,,,,,
241,242,0.9429971097,male,13.0,pacific,26.0,31545.0,36.0,,36.0,37.6,very satisfied,,,,,
242,243,0.47149855479999997,female,13.0,pacific,61.0,22782.5,39.0,31.0,50.0,20.8,very satisfied,strongly agree,disagree,disagree,disagree,agree
